SalePrice,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF
208500,7,1710,2,548,856
181500,6,1262,2,460,1262
223500,7,1786,2,608,920
140000,7,1717,3,642,756
250000,8,2198,3,836,1145
143000,5,1362,2,480,796
307000,8,1694,2,636,1686
200000,7,2090,2,484,1107
129900,7,1774,2,468,952
118000,5,1077,1,205,991
129500,5,1040,1,384,1040
345000,9,2324,3,736,1175
144000,5,912,1,352,912
279500,7,1494,3,840,1494
157000,6,1253,1,352,1253
132000,7,854,2,576,832
149000,6,1004,2,480,1004
90000,4,1296,2,516,0
159000,5,1114,2,576,1114
139000,5,1339,1,294,1029
325300,8,2376,3,853,1158
139400,7,1108,1,280,637
230000,8,1795,2,534,1777
129900,5,1060,2,572,1040
154000,5,1060,1,270,1060
256300,8,1600,3,890,1566
134800,5,900,2,576,900
306000,8,1704,3,772,1704
207500,5,1600,1,319,1484
68500,4,520,1,240,520
40000,4,1317,1,250,649
149350,5,1228,1,271,1228
179900,8,1234,2,484,1234
165500,5,1700,2,447,1398
277500,9,1561,2,556,1561
309000,8,2452,3,691,1117
145000,5,1097,2,672,1097
153000,5,1297,2,498,1297
109000,5,1057,1,246,1057
82000,4,1152,0,0,0
160000,6,1324,2,440,1088
170000,5,1328,1,308,1350
144000,5,884,2,504,840
130250,5,938,1,308,938
141000,5,1150,1,300,1150
319900,9,1752,2,576,1752
239686,7,2149,2,670,1434
249700,8,1656,3,826,1656
113000,4,1452,0,0,736
127000,5,955,1,386,955
177000,6,1470,2,388,794
114500,6,1176,2,528,816
110000,5,816,2,516,816
385000,9,1842,3,894,1842
130000,5,1360,2,572,384
180500,6,1425,2,576,1425
172500,8,1739,2,480,970
196500,7,1720,2,565,860
438780,10,2945,3,641,1410
124900,5,780,1,352,780
158000,6,1158,2,576,1158
101000,5,1111,1,288,530
202500,8,1370,2,484,1370
140000,7,1710,2,480,576
219500,7,2034,2,645,1057
317000,8,2473,3,852,1143
180000,7,2207,2,576,1947
226000,7,1479,2,558,1453
80000,4,747,1,220,747
225000,7,2287,2,667,1304
244000,7,2223,2,516,2223
129500,4,845,2,360,845
185000,7,1718,2,427,832
144900,5,1086,2,490,1086
107400,3,1605,1,379,840
91000,4,988,1,297,462
135750,4,952,1,283,952
127000,5,1285,1,240,672
136500,4,1768,0,0,1768
110000,5,1230,2,440,440
193500,6,2142,1,509,896
153500,6,1337,2,405,1237
245000,8,1563,3,758,1563
126500,5,1065,2,461,1065
168500,7,1474,2,400,384
260000,8,2417,2,462,1288
174000,6,1560,2,400,684
164500,6,1224,2,528,612
85000,3,1526,0,0,1013
123600,4,990,0,0,990
109900,4,1040,2,420,0
98600,5,1235,2,480,1235
163500,5,964,2,432,876
133900,6,2291,2,506,1214
204750,6,1786,2,684,824
185000,6,1470,2,420,680
214000,7,1588,2,472,1588
94750,4,960,1,432,960
83000,5,835,1,366,458
128950,4,1225,0,0,950
205000,6,1610,2,480,1610
178000,6,1732,2,476,741
118964,5,1535,2,410,0
198900,7,1226,3,740,1226
169500,7,1818,1,240,1040
250000,8,1992,2,648,1053
100000,4,1047,1,273,641
115000,5,789,1,250,789
115000,5,1517,0,0,793
190000,6,1844,2,546,1844
136900,6,1855,1,325,994
180000,7,1430,2,400,384
383970,7,2696,3,792,1264
217000,6,2259,2,450,1809
259500,6,2320,1,180,1028
176000,6,1458,2,440,729
139000,5,1092,1,288,1092
155000,5,1125,2,430,1125
320000,7,3222,3,594,1673
163990,6,1456,2,390,728
180000,6,988,2,540,938
100000,4,1123,1,264,732
136000,6,1080,1,288,1080
153900,6,1199,2,530,1199
181000,6,1586,2,435,1362
84500,6,754,0,0,520
128000,6,958,2,440,1078
